"Sales, Marketing, and Public Relations Professionals",225
"Accommodation and Hospitality Managers",141
"Advertising, Public Relations and Sales Managers",131
"Database and Systems Administrators, and ICT Security Specialist",262
"ICT Managers",135
"Financial Brokers and Dealers, and Investment Advisers",222
"Human Resources and Training Professionals",223
"Engineering Professionals",233
"Business Administration Managers",132
"Accountants, Auditors and Company Secretaries",221
"Information and Organisation Professionals",224
"ICT Network and Support Professionals",263
"Education, Health and Welfare Service Managers",134
"Architects, Designers, Planners and Surveyors",232
"Business and Systems Analysts, and Programmers",261
"Retail Managers",142